category,seller_id,seller_city,seller_state,total_orders,unique_buyers,total_gmv,avg_order_value,avg_review_score
health_beauty,7e1fb0a3ebfb01ffb3a7dae98bf3238d,franca,SP,134,127,25993.55,176.83,4.1
small_appliances_home_oven_and_coffee,ba90964cff9b9e0e6f32b23b82465f7b,guarulhos,SP,17,17,25956.78,1526.87,4.53
health_beauty,a416b6a846a11724393025641d4edd5e,sao paulo,SP,153,152,25846.21,150.27,4.2
luggage_accessories,dbc22125167c298ef99da25668e1011f,borda da mata,MG,255,255,25585.22,95.82,4.34
bed_bath_table,7ad32824caee82087b3e2e5f33b1bf32,ibitinga,SP,147,145,25495.8,141.64,3.81
sports_leisure,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,271,266,25466.36,81.1,4.17
watches_gifts,2eb70248d66e0e3ef83659f71b244378,campinas,SP,111,110,25413.9,224.9,3.01
cool_stuff,850f4f8af5ea87287ac68de36e29107f,sao paulo,SP,56,56,25092.94,432.64,4.53
sports_leisure,8f2ce03f928b567e3d56181ae20ae952,pirituba,SP,151,150,24969.8,145.17,4.12
computers_accessories,1c68394e931a64f90ea236c5ea590300,sarandi,PR,126,122,24950.12,160.97,3.97
computers_accessories,2b3e4a2a3ea8e01938cabda2a3e5cc79,sao paulo,SP,52,52,24535.1,454.35,4.39
auto,40db9e9aa57f7bb151bcda6b0f9bdbb7,recife,PE,12,12,23823.99,1985.33,2.58
baby,ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,sao paulo,SP,19,19,23038.2,1212.54,3.63
musical_instruments,7b0df942f46435babab05d49b744b2c4,braganca paulista,SP,31,31,22895.51,738.56,4.39
computers_accessories,f457c46070d02cadd8a68551231220dd,maringa,PR,195,189,22449.01,97.6,3.81
computers_accessories,4e922959ae960d389249c378d1c939f5,jacarei,SP,138,137,22319.01,149.79,4.03
fashion_bags_accessories,6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,322,320,22318.64,66.23,4.09
auto,c003204e1ab016dfa150abc119207b24,cajamar,SP,151,151,21968.54,144.53,4.58
auto,b1b3948701c5c72445495bd161b83a4c,sao paulo,SP,14,14,21924.25,1566.02,1.93
cool_stuff,dc317f341ab0e22f39acbd9dbf9b4a1f,cachoeirinha,RS,52,51,21804.27,396.44,4.15
computers_accessories,85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,MG,464,462,21781.08,46.15,4.22
furniture_living_room,1554a68530182680ad5c8b042c3ab563,monte siao,MG,89,87,21697.57,243.79,4.35
watches_gifts,744dac408745240a2c2528fb1b6028f3,colombo,PR,71,71,21568.98,283.8,4.51
bed_bath_table,004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,145,144,20718.37,132.81,4.17
toys,850f4f8af5ea87287ac68de36e29107f,sao paulo,SP,113,113,20673.15,181.34,4.32
bed_bath_table,00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,113,112,20651.92,137.68,4.34
pet_shop,f45122a9ab94eb4f3f8953578bc0c560,piracicaba,SP,128,127,20382.81,148.78,3.97
electronics,128639473a139ac0f3e5f5ade55873a5,maringa,PR,511,510,20365.34,38.07,4.2
housewares,729f06993dac8e860d4f02d7088ca48a,limeira,SP,71,71,20273.45,233.03,4.24
computers_accessories,96493fab2fbb13a14d0c0e8772eef5c3,sao paulo,SP,63,63,20181.23,315.33,4.05
bed_bath_table,1e8b33f18b4f7598d87f5cbee2282cc2,sao paulo,SP,122,122,19924.07,143.34,4.32
construction_tools_lights,1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,66,66,19913.86,284.48,4.29
bed_bath_table,c33847515fa6305ce6feb1e818569f13,brusque,SC,113,113,19851.09,156.31,3.71
watches_gifts,86ccac0b835037332a596a33b6949ee1,blumenau,SC,175,174,19623.66,95.73,4.02
books_general_interest,527801b552d0077ffd170872eb49683b,garca,SP,85,84,19496.28,226.7,4.53
audio,7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,47,47,19487.87,414.64,3.96
housewares,9de4643a8dbde634fe55621059d92273,joinville,SC,69,69,18908.65,255.52,4.5
sports_leisure,4c2b230173bb36f9b240f2b8ac11786e,sao paulo,SP,257,252,18782.37,54.92,3.78
furniture_decor,79ebd9a61bac3eaf882805ed4ecfa12a,cascavel,PR,133,132,18730.52,133.79,4.01
perfumery,a888faf2d1baececa6baf9c3d603ee1f,umuarama,PR,53,53,18672.75,345.79,4.11
health_beauty,94144541854e298c2d976cb893b81343,viamao,RS,63,63,18449.49,259.85,4.41
baby,4b9750c8ad28220fe6702d4ecb7c898f,limeira,SP,206,205,18444.51,88.25,4.36
bed_bath_table,391fc6631aebcf3004804e51b40bcf1e,ibitinga,SP,254,253,18422.14,66.75,4.13
perfumery,7178f9f4dd81dcef02f62acdf8151e01,videira,SC,52,52,18409.46,354.03,4.37
sports_leisure,955fee9216a65b617aa5c0531780ce60,sao paulo,SP,118,118,18395.22,138.31,4.12
housewares,59b22a78efb79a4797979612b885db36,uberlandia,MG,84,84,18379.01,204.21,3.93
watches_gifts,d650b663c3b5f6fb392b6326366efa9a,cotia,SP,54,53,18124.82,335.64,4.35
computers_accessories,229c3efbfb0ea2058de4ccdfbc3d784a,belo horizonte,MG,118,117,17779.71,122.62,3.66
health_beauty,59fb871bf6f4522a87ba567b42dafecf,sao paulo,SP,93,93,17721.29,190.55,4.32
sports_leisure,54a1852d1b8f10312c55e906355666ee,santa barbara d'oeste,SP,171,169,17666.57,100.95,4.34
toys,fa40cc5b934574b62717c68f3d678b6d,sao paulo,SP,274,269,17643.65,60.01,4.45
health_beauty,01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,128,128,17532.79,134.87,4.38
pet_shop,66922902710d126a0e7d26b0e3805106,belo horizonte,MG,150,150,17464.93,112.68,4.48
pet_shop,5cf13accae3222c70a9cac40818ae839,patos de minas,MG,147,147,17135.22,111.27,4.46
watches_gifts,c3acdfac4e3e97ff87529454fbc03642,sao paulo,SP,12,12,17057.28,1421.44,4.25
sports_leisure,821fb029fc6e495ca4f08a35d51e53a5,sao paulo,SP,20,20,17046.51,811.74,3.38
housewares,d94a40fd42351c259927028d163af842,baependi,MG,98,97,16799.21,158.48,4.17
home_construction,213b25e6f54661939f11710a6fddb871,salto,SP,136,136,16648.16,96.79,3.89
health_beauty,2a5b78b41cd05baeac8df54c6606b92c,formiga,MG,46,44,16575.47,295.99,4.3
furniture_decor,710e3548e02bc1d2831dfc4f1b5b14d4,rolandia,PR,71,70,16475.61,222.64,3.92
auto,16090f2ca825584b5a147ab24aa30c86,atibaia,SP,248,246,16440.47,65.5,4.11
toys,b94cc9f10ddc85e4ba73a6f7974e7101,macae,RJ,23,23,16209.22,704.75,4.61
toys,7aa4334be125fcdd2ba64b3180029f14,laranjal paulista,SP,170,168,16197.06,86.62,4.07
toys,3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,226,224,16054.07,66.89,4.02
bed_bath_table,cfb1a033743668a192316f3c6d1d2671,votorantim,SP,143,143,15970.7,89.22,4.03
perfumery,ef0ace09169ac090589d85746e3e036f,sao goncalo,RJ,109,109,15967.62,134.18,4.34
bed_bath_table,a3e9a2c700480d9bb01fba070ba80a0e,ibitinga,SP,126,126,15912.7,113.66,4.03
consoles_games,7299e27ed73d2ad986de7f7c77d919fa,araguari,MG,151,150,15849.47,98.44,4.56
toys,de23c3b98a88888289c6f5cc1209054a,sao paulo,SP,85,82,15836.42,159.96,4.46
bed_bath_table,41b39e28db005d9731d9d485a83b4c38,santo andre,SP,146,145,15803.77,94.07,4.2
computers_accessories,8e6d7754bc7e0f22c96d255ebda59eba,sao jose dos campos,SP,84,84,15793.35,122.43,2.99
small_appliances,b32be1695eb7ec5f10f72d9610a12527,caxias do sul,RS,13,13,15780.76,1213.9,4.15
bed_bath_table,3b15288545f8928d3e65a8f949a28291,ibitinga,SP,98,98,15745.17,136.91,3.93
small_appliances_home_oven_and_coffee,f62d7bb4a613ec758a03342d46b580b2,vicosa,MG,19,19,15722.55,827.5,4.37
baby,1f9ab4708f3056ede07124aad39a2554,tupa,SP,76,76,15692.65,203.8,4.12
housewares,b8bc237ba3788b23da09c0f1f3a3288c,itajai,SC,45,45,15621.16,332.37,4.36
small_appliances,ba90964cff9b9e0e6f32b23b82465f7b,guarulhos,SP,15,15,15566.7,1037.78,4.2
auto,080199a181c46c657dc5aa235411be3b,osasco,SP,79,79,15544.88,187.29,4.61
watches_gifts,d921b68bf747894be13a97ae52b0f386,formiga,MG,67,67,15497.09,231.3,4.58
toys,7299e27ed73d2ad986de7f7c77d919fa,araguari,MG,80,80,15261.89,179.55,4.49
computers_accessories,165fc07beebdcb6190fba8a06db2a449,maringa,PR,47,47,15205.12,266.76,3.63
health_beauty,431af27f296bc6519d890aa5a05fdb11,ribeirao preto,SP,116,116,15103.05,121.8,3.81
sports_leisure,440dd6ab244315c632130ecfb63827b1,votuporanga,SP,88,88,15037.06,168.96,3.88
computers_accessories,00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,103,102,14969.99,110.89,3.8
furniture_living_room,701938c450705b8ae65fc923b70f35c7,s jose do rio preto,SP,69,68,14777.48,140.74,3.71
construction_tools_construction,0b35c634521043bf4b47e21547b99ab5,teixeira soares,PR,50,49,14690.79,190.79,3.55
telephony,2138ccb85b11a4ec1e37afbd1c8eda1f,sao paulo,SP,333,330,14675.3,40.88,3.95
sports_leisure,46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,53,53,14649.62,276.41,4.32
stationery,b2ba3715d723d245138f291a6fe42594,sao paulo,SP,82,82,14630.0,178.41,4.38
baby,05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,55,55,14437.12,248.92,4.22
perfumery,289cdb325fb7e7f891c38608bf9e0962,belo horizonte,SP,103,102,14430.61,125.48,4.59
bed_bath_table,610f72e407cdd7caaa2f8167b0163fd8,sao paulo,SP,16,16,14429.45,848.79,3.71
computers_accessories,34d1ca11b242c0fee2c834ae8d788566,congonhas,MG,40,40,14404.28,351.32,4.32
sports_leisure,d05ae8f7a5bd1d2a690a44cd079e4e27,rio de janeiro,RJ,77,74,14385.65,179.82,3.84
stationery,aba1721a889e04decc910aa13b768ef4,sao paulo,SP,77,75,14344.81,166.8,4.42
watches_gifts,a6bd7d1ccdac48c6b33b28596b7eb122,mamanguape,PB,15,15,14306.91,953.79,3.6
housewares,813348c996469b40f2e028d5429d3495,jundiai,SP,172,171,14271.23,73.19,4.02
auto,2b1a40c1daabc6ca280c4b815c101841,divinopolis,MG,22,22,14175.74,429.57,3.79
office_furniture,a7f13822ceb966b076af67121f87b063,itaquaquecetuba,SP,68,68,14082.83,178.26,3.56
health_beauty,955fee9216a65b617aa5c0531780ce60,sao paulo,SP,108,107,14040.21,123.16,4.21
construction_tools_safety,4a3ccda38b2129705f3fb522db62ca31,marilia,SP,48,48,14025.08,275.0,3.88
fashion_bags_accessories,1f1bb1f0859883505541bdd6606193e5,sao paulo,SP,25,25,13954.32,516.83,4.3
fashion_bags_accessories,cab85505710c7cb9b720bceb52b01cee,sao paulo,SP,201,199,13951.99,68.39,4.34
health_beauty,abe42c5d03695b4257b5c6cbf4e6784e,rio de janeiro,RJ,40,40,13815.33,345.38,3.9
fashion_bags_accessories,b372ee768ed69e46ca8cdbd267aa7a38,sao jose do rio preto,SP,63,57,13813.84,200.2,4.4
sports_leisure,530ec6109d11eaaf87999465c6afee01,cascavel,PR,83,82,13810.24,155.17,4.3
auto,c8b0e2b0a7095e5d8219575d5e7e1181,itaquaquecetuba,SP,84,83,13657.34,160.67,4.06
furniture_decor,7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,67,65,13592.33,149.37,3.11
telephony,75d34ebb1bd0bd7dde40dd507b8169c3,salvador,BA,52,52,13556.56,218.65,4.0
construction_tools_construction,59b22a78efb79a4797979612b885db36,uberlandia,MG,39,39,13555.46,330.62,4.15
fashion_bags_accessories,0ea22c1cfbdc755f86b9b54b39c16043,sete lagoas,MG,214,203,13555.29,56.01,4.32
pet_shop,70c27847eca8195c983ed7e798c56743,rio de janeiro,RJ,77,77,13529.18,138.05,4.2
telephony,ef506c96320abeedfb894c34db06f478,sao paulo,SP,292,292,13439.2,43.92,3.95
housewares,ce7d1888639e6fb06b2749cbfdac1ff7,baependi,MG,70,70,13388.74,176.17,4.03
sports_leisure,87b740daf17b5d1be335a64164ec6842,suzano,SP,11,11,13354.83,1214.08,3.73
watches_gifts,8ae520247981aa06bc94abddf5f46d34,navegantes,SC,52,52,13298.99,255.75,4.46
baby,1d8dbc4f32378d715c717c1c1fc57bae,arapongas,PR,91,90,13291.14,137.02,3.95
bed_bath_table,0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,121,120,13281.3,95.55,3.95
industry_commerce_and_business,0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,92,91,13259.07,118.38,3.93
small_appliances,b839e41795b7f3ad94cc2014a52f6796,sao caetano do sul,SP,12,12,13146.53,876.44,3.33
toys,a3a38f4affed601eb87a97788c949667,joinville,SC,107,107,13138.66,120.54,4.36
telephony,562fc2f2c2863ab7e79a9e4388a58a14,campinas,SP,255,253,12884.21,48.62,4.25
toys,ac3508719a1d8f5b7614b798f70af136,canoas,RS,83,83,12871.78,155.08,4.65
bed_bath_table,b4f8921fcc4ff77b66bea6dda43dcd51,caxias do sul,RS,18,18,12863.41,643.17,4.6
health_beauty,6e386f64c84e482f0b9abf960797ee1b,sao paulo,SP,29,29,12820.81,442.1,4.62
watches_gifts,c66dccfb3f109511246da627dd5a2498,registro,SP,43,43,12817.48,298.08,4.58
baby,46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,34,34,12786.51,376.07,4.12
sports_leisure,ccb83a794700270fde70898fe9ff368b,sombrio,SC,12,12,12785.73,1065.48,4.33
home_appliances,e882b2a25a10b9c057cc49695f222c19,teresopolis,RJ,12,11,12740.32,1061.69,4.75
toys,76d64c4aca3a7baf218bf93ef7fa768d,curitiba,PR,32,31,12632.39,394.76,4.44
consoles_games,66e0557ecc2b4dbea057e93f215f68d8,sao paulo,SP,30,30,12628.42,420.95,4.03
art,c31eff8334d6b3047ed34bebd4d62c36,salto,SP,104,104,12617.02,120.16,3.79
computers_accessories,70a12e78e608ac31179aea7f8422044b,jacarei,SP,106,106,12522.43,113.84,3.85
bed_bath_table,54965bbe3e4f07ae045b90b0b8541f52,foz do iguacu,PR,73,73,12427.96,153.43,3.19
bed_bath_table,1c129092bf23f28a5930387c980c0dfc,sao paulo,SP,197,196,12349.97,57.18,4.18
sports_leisure,c864036feaab8c1659f65ea4faebe1da,campo largo,PR,58,58,12299.77,212.07,4.57
home_construction,1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,59,59,12224.35,200.4,4.11
telephony,240b9776d844d37535668549a396af32,niteroi,RJ,23,23,12206.26,530.71,4.3
furniture_decor,5343d0649eca2a983820bfe93fc4d17e,santo andre,SP,70,69,12194.09,110.86,3.66
sports_leisure,80e6699fe29150b372a0c8a1ebf7dcc8,pinhais,PR,85,85,12188.49,140.1,4.37
baby,7ea5bfa6c340f58f8e71fc1f0412b0d6,belo horizonte,MG,92,92,12159.65,129.36,4.29
furniture_decor,5a8e7d5003a1f221f9e1d6e411de7c23,campinas,SP,115,115,12081.15,77.94,4.24
furniture_decor,82e0a475a88cc9595229d8029273f045,sao paulo,SP,40,40,12019.9,156.1,3.42
bed_bath_table,a673821011d0cec28146ea42f5ab767f,sao paulo,SP,93,92,12013.55,114.41,3.81
health_beauty,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,149,144,12008.59,69.41,4.17
housewares,32b8764b4ef628b53608fc34011fcc13,lages,SC,36,36,11854.42,311.96,4.24
telephony,7202e2ba20579a9bd1acb29e61fe71f6,franca,SP,44,44,11751.58,255.47,3.96
computers_accessories,6973a06f484aacf400ece213dbf3d946,sao jose dos campos,SP,89,88,11706.59,108.39,3.69
housewares,f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,171,170,11655.38,62.0,4.35
housewares,ca3bd7cd9f149df75950150d010fe4a2,sao paulo,SP,66,65,11579.93,88.4,3.84
furniture_decor,31344c16881c08a8a72c6d2eb29918c1,uba,MG,42,42,11574.35,275.58,4.43
bed_bath_table,33a6f4b1e7cdc205511e76ba1b6e0186,guarulhos,SP,94,93,11303.75,98.29,4.31
housewares,1b4c3a6f53068f0b6944d2d005c9fc89,sao ludgero,SC,56,56,11300.37,191.53,4.12
computers_accessories,c72de06d72748d1a0dfb2125be43ba63,guanambi,BA,17,17,11280.72,626.71,4.44
unknown,1ca7077d890b907f89be8c954a02686a,santana de parnaiba,SP,68,66,11265.53,146.31,1.83
computers_accessories,17e34d8224d27a541263c4c64b11a56b,riberao preto,SP,40,40,11256.48,281.41,4.08
pet_shop,6061155addc1e54b4cfb51c1c2a32ad8,campinas,SP,24,23,11253.95,388.07,4.69
telephony,c4d51195486dc781531876a7d00453d8,presidente prudente,SP,16,16,11220.23,701.26,3.94
health_beauty,bba3293d6f5d5af2f415e004e8b93ae3,sao paulo,SP,16,16,11189.3,699.33,4.25
garden_tools,48162d548f5b1b11b9d29d1e01f75a61,piracicaba,SP,33,32,11159.61,272.19,4.17
furniture_decor,1554a68530182680ad5c8b042c3ab563,monte siao,MG,120,119,11146.3,79.62,4.18
office_furniture,5058e8c1e82653974541e83690655b4a,itaquaquecetuba,SP,45,45,11132.77,191.94,3.03
